group,sector,n_stocks,n_with_data,median_rs_rating,price_trend_annualised,composite_score,rank,pct_halal,n_halal,n_questionable,n_haram
INSURANCE-DIVERSIFIED,INSURANCE,8,7,,-0.0020507851831729454,-0.09740235817075066,107,0.0,0,2,6
OFFICE EQUIPMENT/SUPPLIES,OFFICE,7,4,,-0.003998980876598095,-0.09892117235182399,108,1.0,7,0,0
METAL ORES-NON-FERROUS,METALS,5,4,,-0.004555447413036233,-0.09935499389741476,109,1.0,5,0,0
CHEMICALS-FERTILIZERS,CHEMICAL,5,4,,-0.0112814918704878,-0.10459862098220052,110,1.0,5,0,0
COMPUTER SFTWR-DESIGN,SOFTWARE,9,6,,-0.011811948179020256,-0.10501216494318855,111,1.0,9,0,0
PAPER & PAPER PRODUCTS,BUSINESS_PRODUCTS,5,2,,-0.01190255328009478,-0.10508280071805143,112,1.0,5,0,0
CONSUMER PRODUCTS-PERSONAL,CONSUMER,8,6,,-0.013070744577659447,-0.10599352314441524,113,1.0,8,0,0
FINANCE-INVESTMENT MGMT,FINANCE,12,12,,-0.026979337403092336,-0.1168366679544229,114,0.16666666666666666,2,9,1
BEVERAGES-NON-ALCOHOLIC,FOOD_BEVERAGE,7,6,,-0.028773961068204595,-0.11823575731770455,115,1.0,7,0,0
CHEMICALS-PLASTICS,CHEMICAL,4,4,,-0.029931395087082306,-0.11913809336508463,116,1.0,4,0,0
INSURANCE-PROP/CAS/TITLE,INSURANCE,12,11,,-0.034033574034780634,-0.1223361537961242,117,0.0,0,0,12
UTILITY-GAS DISTRIBUTION,UTILITY,10,9,,-0.03543794945748,-0.12343100546566908,118,1.0,10,0,0
OIL&GAS-INTEGRATED,ENERGY,8,7,1.0,-0.038749273715779825,-0.12601251524859844,119,1.0,8,0,0
LEISURE-TRAVEL BOOKING,LEISURE,5,4,,-0.04371582682395905,-0.12988444213829117,120,1.0,5,0,0
AGRICULTURAL OPERATIONS,AGRICULTURE,6,5,,-0.04584032821244859,-0.13154070431330653,121,1.0,6,0,0
RETAIL-LEISURE PRODUCTS,RETAIL,6,3,,-0.05726122864800371,-0.14044444309103218,122,1.0,6,0,0
MEDICAL-BIOMED/BIOTECH,MEDICAL,23,20,,-0.05969434372720222,-0.1423413006289795,123,1.0,23,0,0
RETAIL-DISCOUNT & VARIETY,RETAIL,8,5,,-0.06830354505277042,-0.14905303759930386,124,1.0,8,0,0
COMPUTER SFTWR-HEALTHCARE,SOFTWARE,7,7,,-0.07455926559189742,-0.15392999995977055,125,1.0,7,0,0
COMPUTER SFTWR-ENTERPRISE,SOFTWARE,32,29,,-0.08467945297477447,-0.16181970229517073,126,0.96875,31,1,0
COMMERCIAL SVCS-WASTE MGMT,BUSINESS_PRODUCTS,5,4,,-0.08594823312515108,-0.1628088438334463,127,1.0,5,0,0
LEISURE-MOVIES & RELATED,LEISURE,7,6,,-0.08719026321572745,-0.1637771310138633,128,0.0,0,6,1
HOUSEHOLD-AUDIO/VIDEO,HOUSEHOLD,4,2,,-0.09011681914122287,-0.16605867524288886,129,1.0,4,0,0
MACHINERY-FARM,MACHINERY,5,5,,-0.10115093111103984,-0.17466087357022686,130,1.0,5,0,0
